hour,avg_speed
0,8.55490009513257
1,7.212051652914435
2,6.462748384379596
3,6.341521817007246
4,7.907262416932097
5,10.853685315996701
6,12.364336577675605
7,12.184602656618747
8,12.996611205255254
9,14.185284673671262
10,14.836962036245918
11,15.007825735322468
12,15.210564684229395
13,15.318435659472014
14,15.378726550758872
15,15.330002218431046
16,14.961966215163034
17,14.153303232281653
18,14.08209715622078
19,14.027672805644738
20,13.799219785182556
21,13.118622504165668
22,11.571259009570538
23,9.76542733225705
