date,hour,avg_speed,points
2024-06-01,0,9.74710631131546,74818
2024-06-01,1,9.010986239174912,71362
2024-06-01,2,7.767052143203379,72205
2024-06-01,3,7.602209259029415,72513
2024-06-01,4,9.042137088536915,73427
2024-06-01,5,11.418904544917336,76151
2024-06-01,6,13.169475337731699,79575
2024-06-01,7,13.88939461264096,83269
2024-06-01,8,14.170875381909083,86408
2024-06-01,9,14.29996519864836,89077
2024-06-01,10,14.660399594077017,91643
2024-06-01,11,14.355229003539634,93230
2024-06-01,12,15.17038985181195,94677
2024-06-01,13,15.059228043692475,95394
2024-06-01,14,15.12423213876684,96046
2024-06-01,15,15.37836600967289,96145
2024-06-01,16,15.397800601722171,96390
2024-06-01,17,15.170329270700206,96243
2024-06-01,18,15.383589984217037,93772
2024-06-01,19,15.123614532019705,90944
2024-06-01,20,14.656700644325504,87999
2024-06-01,21,13.58041547210603,85108
2024-06-01,22,12.38085638646686,82346
2024-06-01,23,10.91235517379145,80096
2024-06-02,0,9.49258419124062,74503
2024-06-02,1,8.337744734966531,71557
2024-06-02,2,7.649214514879964,72312
2024-06-02,3,7.200128394786055,71654
2024-06-02,4,7.936273352316133,71995
2024-06-02,5,10.172389562303213,74001
2024-06-02,6,11.503780536525458,67583
2024-06-02,7,12.865673701909804,79694
2024-06-02,8,13.50547674194171,82896
2024-06-02,9,14.813231823020317,86428
2024-06-02,10,15.491074249605056,88620
2024-06-02,11,15.194708224420696,90669
2024-06-02,12,15.245626480121356,91631
2024-06-02,13,15.564453952154981,92089
2024-06-02,14,15.226963586467226,92191
2024-06-02,15,15.666998452866524,92429
2024-06-02,16,16.351386941021552,93407
2024-06-02,17,15.84278916544656,92888
2024-06-02,18,15.35514306112362,91045
2024-06-02,19,14.455634327515748,88582
2024-06-02,20,14.119375029084647,85956
2024-06-02,21,13.150817773918078,82908
2024-06-02,22,11.92730832465267,79679
2024-06-02,23,10.257105910068626,78104
2024-06-03,0,8.87864077669903,73542
2024-06-03,1,7.188689005115236,69596
2024-06-03,2,6.645295763502247,70766
2024-06-03,3,6.331190990786031,70328
2024-06-03,4,7.62428380375871,71035
2024-06-03,5,9.886974509723867,73479
2024-06-03,6,11.597413075161358,76848
2024-06-03,7,12.362007484596097,79363
2024-06-03,8,12.718154903322489,82077
2024-06-03,9,13.87180950827693,85841
2024-06-03,10,14.482197792254796,88416
2024-06-03,11,15.014924211252099,89921
2024-06-03,12,14.96850437163296,90584
2024-06-03,13,15.197870802392062,91302
2024-06-03,14,15.522366912544074,92458
2024-06-03,15,16.096678490809417,93030
2024-06-03,16,15.831138176331105,92780
2024-06-03,17,15.61403168026242,92676
2024-06-03,18,15.451271186440678,90624
2024-06-03,19,14.370130756111427,87950
2024-06-03,20,13.438924688114788,84887
2024-06-03,21,12.778490955057558,81482
2024-06-03,22,11.165690046113475,78502
2024-06-03,23,9.330407012655899,76091
2024-06-04,0,7.926896242539718,71378
2024-06-04,1,6.466353343302713,70215
2024-06-04,2,5.559721823917408,69740
2024-06-04,3,5.72713591606828,69771
2024-06-04,4,7.595820134002411,71342
2024-06-04,5,11.106480169381324,59983
2024-06-04,6,12.961728350134042,82437
2024-06-04,7,11.657899198607453,88471
2024-06-04,8,12.425958882422945,91591
2024-06-04,9,13.942340542108486,93081
2024-06-04,10,14.821907505878864,94406
2024-06-04,11,15.239191169493848,94853
2024-06-04,12,15.11606987809537,86379
2024-06-04,13,15.637230753105182,95405
2024-06-04,14,15.260577331991826,96409
2024-06-04,15,15.152110514198005,97725
2024-06-04,16,14.155584532928106,97394
2024-06-04,17,13.070499271510949,97462
2024-06-04,18,12.60238443180504,95117
2024-06-04,19,12.99340642656516,92211
